# Manual Corrected Subtitles - Surah Al-Infitar
# Format: index | start | end | text
# Corrected Arabic text with proper harakat

1 | 1.20 | 1.96 | أَعُوذُ
2 | 1.96 | 2.98 | بِاللَّهِ
3 | 2.98 | 3.40 | مِنَ
4 | 3.40 | 4.92 | الشَّيْطَانِ
5 | 4.92 | 7.14 | الرَّجِيمِ
6 | 8.00 | 9.30 | بِسْمِ
7 | 9.30 | 9.92 | اللَّهِ
8 | 9.92 | 11.62 | الرَّحْمَٰنِ
9 | 11.62 | 12.90 | الرَّحِيمِ
10 | 17.20 | 18.60 | إِذَا
11 | 18.60 | 20.00 | السَّمَاءُ
12 | 20.00 | 22.14 | انفَطَرَتْ
13 | 22.14 | 23.96 | وَإِذَا
14 | 23.96 | 25.30 | الْكَوَاكِبُ
15 | 25.30 | 28.06 | انتَثَرَتْ
16 | 28.06 | 30.06 | وَإِذَا
17 | 30.06 | 31.22 | الْبِحَارُ
18 | 31.22 | 32.28 | فُجِّرَتْ
19 | 32.28 | 34.22 | وَإِذَا
20 | 34.22 | 35.40 | الْقُبُورُ
21 | 35.40 | 36.52 | بُعْثِرَتْ
22 | 36.52 | 38.26 | عَلِمَتْ
23 | 38.26 | 38.96 | نَفْسٌ
24 | 38.96 | 40.02 | مَّا
25 | 40.02 | 42.60 | قَدَّمَتْ
26 | 42.60 | 43.92 | وَأَخَّرَتْ
27 | 43.92 | 45.22 | يَا
28 | 45.22 | 47.80 | أَيُّهَا
29 | 47.80 | 50.18 | الْإِنسَانُ
30 | 50.18 | 50.50 | مَا
31 | 50.50 | 51.46 | غَرَّكَ
32 | 51.46 | 52.88 | بِرَبِّكَ
33 | 52.88 | 55.00 | الْكَرِيمِ
34 | 55.00 | 57.02 | الَّذِي
35 | 57.02 | 58.24 | خَلَقَكَ
36 | 58.24 | 59.52 | فَسَوَّاكَ
37 | 59.52 | 60.60 | فَعَدَلَكَ
38 | 60.60 | 61.06 | فِي
39 | 61.06 | 62.88 | أَيِّ
40 | 62.88 | 64.16 | صُورَةٍ
41 | 64.16 | 65.10 | مَّا
42 | 65.10 | 67.40 | شَاءَ
43 | 67.40 | 69.30 | رَكَّبَكَ
44 | 69.30 | 70.72 | كَلَّا
45 | 70.72 | 71.60 | بَلْ
46 | 71.60 | 73.08 | تُكَذِّبُونَ
47 | 73.08 | 75.22 | بِالدِّينِ
48 | 75.22 | 77.72 | وَإِنَّ
49 | 77.72 | 79.48 | عَلَيْكُمْ
50 | 79.48 | 81.88 | لَحَافِظِينَ
51 | 81.88 | 84.32 | كِرَامًا
52 | 84.32 | 88.36 | كَاتِبِينَ
53 | 88.90 | 91.16 | يَعْلَمُونَ
54 | 91.16 | 91.56 | مَا
55 | 91.56 | 94.20 | تَفْعَلُونَ
56 | 94.72 | 96.20 | إِنَّ
57 | 96.20 | 98.78 | الْأَبْرَارَ
58 | 98.78 | 99.44 | لَفِي
59 | 99.44 | 101.58 | نَعِيمٍ
60 | 102.16 | 104.06 | وَإِنَّ
61 | 104.06 | 107.08 | الْفُجَّارَ
62 | 107.08 | 107.80 | لَفِي
63 | 107.80 | 109.08 | جَحِيمٍ
64 | 111.30 | 112.70 | يَصْلَوْنَهَا
65 | 112.70 | 113.64 | يَوْمَ
66 | 113.64 | 114.58 | الدِّينِ
67 | 114.58 | 115.18 | وَمَا
68 | 115.18 | 115.92 | هُم
69 | 115.92 | 116.76 | عَنْهَا
70 | 116.76 | 120.10 | بِغَائِبِينَ
71 | 120.10 | 122.06 | وَمَا
72 | 122.06 | 124.54 | أَدْرَاكَ
73 | 124.54 | 124.88 | مَا
74 | 124.88 | 125.80 | يَوْمُ
75 | 125.80 | 127.42 | الدِّينِ
76 | 128.88 | 130.28 | ثُمَّ
77 | 130.28 | 131.38 | مَا
78 | 131.38 | 134.02 | أَدْرَاكَ
79 | 134.02 | 134.30 | مَا
80 | 134.30 | 135.20 | يَوْمُ
81 | 135.20 | 136.98 | الدِّينِ
82 | 136.98 | 139.42 | يَوْمَ
83 | 139.42 | 139.76 | لَا
84 | 139.76 | 140.86 | تَمْلِكُ
85 | 140.86 | 141.50 | نَفْسٌ
86 | 141.50 | 142.62 | لِّنَفْسٍ
87 | 142.62 | 145.64 | شَيْئًا
88 | 145.64 | 147.72 | وَالْأَمْرُ
89 | 147.72 | 148.90 | يَوْمَئِذٍ
90 | 148.90 | 150.28 | لِلَّهِ
